_count,words
98975,曼联
3942,加油
7728649, 
2526,懂球
5601,直播
3450,免费
882,高清
373,微
274520,有
379758,也
1796273,的
2676,额
31698,不错
188233,啊
5,挺全
786112,是
192137,这
525,局
34537,肯定
1264,胜利
136,大帅
387138,都
193,发飙
1020747,了
7424,这场
14,网有
1691,前排
376,起床
242184,吧
1546,标题
281259,说
6926,助攻
62481,但是
140522,看
1336,那球
25577,真是
207,活生生
1392,讽刺
14614,然而
13171,数据
171460,就是
140282,一个
374012,不
85131,知道
86145,给
123985,什么
2966,表情
138234,好
118322,这个
14665,明显
27,打次
21556,笑
37325,死
51582,这种
4252,饼
22227,只有
17,奉先能
28143,吃
9503,不然
68368,又
30,闷平
296,交出
1874,签名
162,车牌号
41988,已经
72,故人
29611,啥
34573,叫
596059,我
108923,还是
22110,当
265437,他
1582,自家
13712,孩子
647991,你
74919,觉得
49657,可能
9229,回来
117046,吗
199,不大可能
8,鸟当
2230,主帅
45459,喜欢
37116,黑
5392,硬
33399,看看
6291,林
71,少帅
8,选妃
64439,呢
5,毛大
114260,被
11,毛派
117344,去
41686,做
1044,农民
48,蒋经国
25556,直接
364,书记
10279,加
520,江西
528,保安
19,总队
233,司令
86,中将
58,军衔
661,那才
3324,培养
778,接班人
1272,做法
9713,尼玛
9238,居然
374,屏蔽
1723,词
38450,其实
2180,黄
86,长子
49,其父
145,算计
44742,不过
43281,感觉
70447,到
55315,让
1977,不得不
1222,太子
23579,为
314,保住
99306,自己
7623,儿子
109,不得已
22,其子
65,改姓
97,习
8,惜命
60,之意
180,狗血
39,清廷
9,戏看
100641,多
2374,农村
31596,然后
646,工厂
27564,最后
1842,派
2017,军队
5,工农兵
28712,走
1640,一遍
10992,告诉
174247,不是
267822,在
2648,参考
117402,现在
3273,朝鲜
8222,毛
92,呆湾
280,觉悟
2512,一部分
1585,建立
569,内战
4137,失败
2728,基础
83550,上
19,痛定思痛
12,这事放
9664,国内
20566,基本
3683,往
7472,发展
1710,模式
1634,概率
487,极
31615,高
384185,就
51305,不会
3611,温格
917,改成
16,白色恐怖
53207,么
58,北韩
5188,台湾
66329,谁
67633,跟
393,老美
65626,得
2434,近
51344,一样
2262,苏联
16887,完全
4637,同样
507,氛围
24542,为什么
458,留学
3230,经历
191091,没
38850,因为
8510,好多
179351,人
796,低估
1491,周
990,势力
68069,这么
23926,从
13348,后来
45,双臂
133,保不住
85,林彪
17,高岗
2661,事件
121429,能
43645,出来
6771,至于
1282,刘
190338,和
169,彭
371,单干
3618,草
6154,属于
6971,对于
208,打倒
4515,从来
614,中立
2044,他俩
472,斗争
26,棋盘
16123,连
143,棋子
1502,算不上
27620,看到
1237,本质
61639,大
30048,的话
18692,不用
342,文革
300,大招
4008,一条
26148,狗
198038,还
8068,瞎
2686,扯淡
105,海棠
1212,依旧
109070,可以
2963,看出
6,毛周
34,斗法
710,影子
854,一身
54,冷汗
28300,你们
17,毛粉
423,看得出
47089,我们
1159,看不出
3000,毫无
7415,逻辑
41191,真的
935,没想
69472,过
24882,当时
8492,却
28013,一直
4674,听说
261,当代
52745,如果
40,一手遮天
63,文哥
66,皇子
839,接班
29648,几个
8043,帖子
1637,姿势
17068,水平
496,真是太
11793,低
18694,老
577,家属
29,严格要求
15400,搞
1136,特殊
26653,而
77,任人唯亲
89,太宗
58444,才
12886,与
3452,政治
2407,意见
29,相左
61114,但
228,老毛
1237,不停
146,启用
112,在世
64556,时候
80,亲属
107310,没有
8,安插在
5,毛死
31428,后
107,分封
189,诸侯
1222,各个
5638,赚
15,笑开颜
9,毛新宇
1611,由于
1794,党
85139,对
690,后代
1504,照顾
75,有份
565,领
9409,年轻
3809,照片
44879,再
11920,来说
3544,证据
10,血口喷人
2951,有意思
279,传言
5198,信
10,配出来
4364,论
43122,那个
1651,纯粹
526,民间
2107,无知
167,愚昧
1105,人士
2526,根据
282,封建
128225,那
2925,一套
2033,想象
6,安营
2036,活着
38062,确实
2298,可能性
1604,不小
14020,哦
9,毛远新
74838,打
7861,它
10679,脸
4185,最高
459,职位
38329,只是
83434,个
123,政委
106,菊
1185,没进
28,病重
13764,时
11747,还要
6401,怎么样
184,共党
7568,任何
628,重大
5649,决定
23419,需要
5,投票表决
367,死后
18,火葬
18682,结果
1741,不准
33160,人家
54,入土
7440,的确
16418,那些
500,不死
10537,以
88,龌龊
630,心思
7,揣度
228,伟人
227,朝鲜战争
13756,情况
34765,下
6275,几乎
1130,集体
2145,反对
2453,坚持
67197,把
109,送上
815,战场
15039,认为
17927,为了
81,镀金
293,服气
517,奴才
3820,心态
29,看毛
78044,会
6686,相信
53,毛是
6793,送
1270,二战
3048,美帝
1464,战斗力
16340,看过
683,东京
277,轰炸
5849,一群
86,飞过
137,大地
179,颤抖
5714,明明
98,送死
23971,呵呵
40,司令部
270,前线
307,相对来说
40425,最
2510,安全
9805,敢
446,亲人
189,敬佩
51730,这样
42458,那么
26,欣然接受
58,无差别
144,还分
337,后方
104,死伤
843,几十万
1835,现代
18613,以为
1476,古代
13543,只要
1046,躲
11080,后面
88,制空权
88653,比
190,前方
28901,多少
41284,而且
925,敌人
72,斩首
171,首要
2982,目标
73788,怎么
19292,要是
51,你会
36,专挑
2478,炸
2948,相对
2274,整天
452,大炮
35,炮击
1985,暴露
236,阵地
119553,要
104735,很
133,隐蔽
45879,不能
9754,是因为
469,魔鬼
397,做不了
3391,主
52465,中国
401,天亮
12,当美帝
36,无线电
73,追踪
43,吃干饭
175,反之
563,美的
7040,所谓
305,选举
497,看似
2980,多人
18,三个代表
560,强制
25376,两个
35643,里
4512,选
2956,无论
12,其是
2229,什么样
1581,可笑
1825,老公
13706,完
9650,老婆
573,这算
1945,高级
12114,至少
58116,还有
298,选票
29217,妈
8597,三个
32048,不要
330,这段话
2348,白
223,打错字
4920,大陆
7043,香港
1090,明
347,指定
471,两三个
2644,民主
896,拉倒
1836,一人
301,一票
947,鹿晗
331,吴亦凡
4121,之类
373,保底
913,肠胃
832,叫做
750,别来
19,现世
23235,贴
143,多脑
1809,残
8249,看来
19439,当然
13,熟读
13,二十四史
734,太祖
337,骨子里
4815,家
2285,天下
93,归根到底
4844,二
33,痴呆
14314,哪里
3462,其他人
22473,事
14022,先
24,毛岸英
14,归国
252,履历
4041,对比
384,儒家
35,诛心
22418,以前
300,开国
2761,皇帝
110,比一比
72,呔
343,灬
1151,孔蒂
1713,重视
20555,防守
8805,所有
58706,球员
1804,一旦
13060,进攻
252,敢于
225,压上
5131,边路
546,盲目
3367,传中
907,中前场
491,换位
837,灵活
3674,同时
13763,可
59,压制住
6924,对手
15234,一次
3789,两次
236,不要紧
2148,停
1691,引进
11959,切尔西
6592,将
2197,恐怖
24479,毕竟
248,攻势
18441,足球
10699,娜娜
382,横扫
96,何等
120,威风
12071,后卫
433,太烂
10974,必须
61856,买
812,说得好
19651,当年
10168,穆里尼奥
20907,靠
1204,防反
47025,拿
26299,冠军
60934,想
7053,成为
45969,真
4083,强队
9592,一场
4079,老虎
3788,城
31865,球
11,发此
300,感慨
1025,滚回
536,龟
122,拿点
2221,干货
58,回车
376,可好
5250,忘
30092,前
2136,轮
3013,上半场
41771,踢
11992,成
1455,样
26760,吹
35257,很多
625,客串
23112,位置
3316,下半场
311,跑不动
5427,失误
43219,太
6864,车子
12633,赢
304,赫尔城
7927,真正
4429,威胁
4982,几次
1370,压制
17378,机会
1407,直到
2555,绝杀
17736,这是
5289,未来
349,出路
6964,看球
7358,分钟
30386,像
1062,业余
32483,球队
453,幸亏
157,袜子
70,神扑
7966,对方
73,体力不支
16551,绝对
7466,爆
56277,问题
597,冬季
322,买好
3592,后防
13457,稳
1232,提醒
6965,射门
6718,次
104,射正
487,士气
9,正旺
9341,刚
702,连胜
9387,队长
13005,替补
31865,楼主
7504,确定
5,车差
6262,坑
10640,去年
18612,教练
20969,差
13777,今年
7,七轮
15581,进
790,个球
2949,买人
40183,更
1182,擅长
15,资辞
68,常驻
16856,反正
22089,抬
25,六轮
24004,只能
18934,伊布
1045,太强
779,支点
85,凑活
155,别特
1460,科斯塔
4450,顶
40544,着
377,上个月
2910,下课
338,缺个
24450,中场
331,指挥官
2779,要不是
3533,连续
15758,之后
643,扳平
14757,厉害
155,的哥
5530,上场
7151,阿森纳
8047,认识
14579,哪
36209,球迷
8219,输
6290,接受
6209,早就
3160,某些
1713,多么
159,叛变
4462,回去
12401,各种
960,怀念
5430,破
572,车迷
583,路易斯
4694,阿
35,孔帝
25542,不行
10556,车
24899,等
74,偷拍
46,看海
23,飞舞
1236,头发
266,飘
701,雨
8,眺望
1539,眼光
16760,进球
4738,全是
9052,稳如
1479,思路
1794,不断
1918,磨合
1493,等到
42,可大
4555,这话
43817,用
7405,随便
15691,哪个
20010,挺
473,适用
3551,广州
750,两家
9172,不同
35,阿迪店
13107,老哥
511,纽约
15433,嗯
1334,啥时候
12485,三
351,五瓶
3074,约
8,肛贴
40250,逼
250,两拳
2337,不去
142,戴套
334,咸
59,娜家楼
3906,猪
59,哲么克
477,乃
7174,有没有
988,银
4363,咬
59,没引药
262,掐
3376,撕
528,扒
39110,她
39,吊带
2091,解
38,衬衣
1811,扣
3323,美滋滋
7082,艹
220,贤妹
7952,不管
501,外形
528,内饰
676,性能
1811,品牌
2556,各
5944,方面
37,帕拉
126,梅拉
141,玛莎拉蒂
11302,新
10001,好看
52662,应该
227,三叉戟
310,保时捷
262,产量
2263,太高
680,标志
2588,销量
4141,反而
19674,懂
798,眼中
386,拉低
3967,档次
883,层次
76,手工
762,化
3771,程度
538,法拉利
735,逼格
25,年产
270,辆
17373,本来
1930,满足
64,发烧友
136,玛莎
12,不断扩大
115,产能
289,掉下来
5180,经典
100,大厂
943,收购
4159,变
24,街车
768,早晚
386,扩大
153,变味
14985,几年
130,效益
91,那款
578,莱
17,万特
973,咋样
724,靠着
80,卡宴
122,一举
117,扭转
11,濒临破产
137,困境
1190,一战
3528,帅
7670,价格
1406,差别
7383,很大
6192,级别
5204,贵
10893,不少
1428,牌子
230,马丁
168,超跑
21203,意思
301,跑车
131,蛮大
5738,俩
11235,不算
150,兰博基尼
7,帕加尼
57,柯
31,尼塞
783,格
113,布加迪
39,迈凯伦
18361,算
18948,跑
1558,最起码
64,入门级
79,截个
10,图去
17867,或者
18,算超
93,不超
16384,牛
667,来回
230,入门
1350,定义
25973,好像
19672,回复
49,玩车
57,全系
26544,估计
4495,超级
3100,不差
18792,哈哈
5002,以上
4267,两
79,三百万
276,涡轮
30,匹
1105,宝马
2671,年前
8687,再说
67,取向
1232,要死
9332,另外
94,百公里
6988,左右
33,鸡蛋里挑
1057,骨头
76829,来
947,无力
2175,反驳
2263,概念
17388,带
1739,哇
1561,我来
4883,解释
1493,啥意思
97,称作
8879,适合
152,长距离
15,高速行驶
738,豪华
39,轿
121,悬殊
151,大不大
7290,百度
5487,小时
4051,终于
10204,回
10096,错
13,盖拉
20985,并
1271,多万
2282,大众
7329,简直
1704,疯狂
4407,键盘
12,侠真
1149,人人
853,随时
941,端
7805,手机
2364,拿出
641,咱俩
763,争论
4780,只会
139,避重就轻
2787,回答
11607,一些
677,有利
1764,何必
3348,侠
11464,真心
1328,一档
9352,要求
7066,够
19003,而已
2897,实际
2457,未必
405,比得过
540,万左右
62,破鞋
252,民用
659,车上
15298,技术
3786,基本上
11,汽车品牌
131,第一第二
1988,水准
230,顶配
23785,万
1472,以下
144,赛道
55,原厂
70,往上走
7,纽北
456,刷新
101,量产
6,车圈
204,速
2579,久
32,报出
12247,成绩
4466,醉
11129,马
137,萨拉
1782,蒂
7119,扯
8494,别的
10479,说话
1096,一副
1527,优越感
585,十足
5843,样子
2778,舒服
344,模糊
1360,公认
383,回错
15458,主要
15691,就算
1768,极速
14522,差不多
606,将近
5577,大部分
107,缸
165,排量
3654,算了
14,帕纳
28,夜跑
15159,不到
233,高配
1480,勉强
5,卡雷拉
395,低配
20,能拉到
1553,心中
4296,自然
18244,虽然
702,衡量
270,划分
6086,一种
234,标杆
46814,所以
14776,啦
6566,承认
17938,个人
5973,不服
596,远古
300,车型
6586,讨论
2360,范围
604,现役
14311,大家
3837,罢了
1761,争
4439,楼上
2338,稍微
1574,理性
21339,点
454,固执
5034,开心
2998,无所谓
6570,必要
150,争执
42,单轮
516,外观
270,见仁见智
273,做工
2197,甩
195,十条
1453,街
616,犹豫
271,满大街
12077,开
810,一辆
52,保有量
1595,人们
4125,习惯
13547,少
689,关注度
7686,同意
3204,等于
468,高低
6268,本身
1722,说错
204,目光
2728,毛病
194,人真
3674,问问
69,野马
1957,价钱
993,奥迪
38,科迈罗
309,大黄蜂
2937,受
6371,关注
1115,或者说
131,新出
2688,自由
197,评为
1634,情怀
430,满满的
223,抢眼
2370,装逼
10745,重要
451,低端
12,车过
18977,一点
30,声浪
433,提速
232,满满
16,回头率
10770,那种
7,沁人心脾
33,且不论
1541,汽车
494,单论
145,路面
1993,吸引
33,那辆车
543,常见
6222,而是
77,审美疲劳
41,不以为然
4508,突然
6898,出现
423,新鲜
19510,东西
370,眼前
10,一亮
2176,赞
949,真特
5197,逗
545,抛开
4234,不说
5465,市场
23,上卖
868,不动
37,垃圾车
5693,同
2501,竞争
286,惨败
6697,没人
1362,脑袋
243,某种
1075,两种
42,认知度
9245,不够
1185,高端
153,稀有
15621,呀
6865,上面
8707,有个
2766,几把
4547,即使
4592,全
1222,红色
3538,普通
190,级车
390,正统
671,黑色
18,商务车
158,眼前一亮
17437,难道
310,十几万
19,百十
3047,针对
4139,苹果
23677,第一
793,这特
248,还装
626,索尼
39,旗舰机
24574,卖
1029,水果
3546,位
81,机型
4901,没法
334,阿特
447,兹
180,跑过来
1078,高于
987,主观
997,当成
3063,客观
1007,奔驰
1773,低调
21621,别
747,替代
3735,另
23,公理
11,一后
40,搞不到
9,三皇
30302,一
4399,第三
20,皇是
158,红旗
54,靓
10,机械性能
595,两者
231,泡妞
21483,强
119,天差地别
6306,别说
6,牛背
928,信不信
937,处于
2651,无敌
11278,状态
139,跑得快
541,了不起
205,总裁
4145,风格
8588,层主
19540,除了
235,油门
16,踩下去
2509,声音
76,唬
15,真跑
21636,起来
2617,屁股
2139,吃屎
183,一条街
4845,下去
4085,向
132,看齐
7364,搞笑
544,机械
68,会差
432,我敢
512,说完
1110,届
12470,干
2486,何况
1098,小弟
13,难算
3316,依然
211,超一流
26921,小
6,排量车
39,拖入
344,豪车
3284,赚钱
1325,开发
5229,完爆
155,仁者见仁
72,老表
10029,兄弟
1403,刚好
530,一台
3236,平时
8,孤寒
5321,出去
2985,吃饭
468,掏钱
175,打麻将
74,输钱
5,赖帐
1642,这人
14517,关系
834,有钱人
49,吝啬
304,成不了
292,表弟
124,一开
90,拉法
30,茶水
31559,钱
2114,好意思
14,十辆
9618,才能
19,顶人
1316,亲戚
27945,中
243,最烂
29688,鲁尼
5113,除非
4584,退役
8922,两年
10428,工资
2354,退
3456,加盟
10428,该
1819,待
2092,埃弗顿
225,笔
3708,转会费
13,连本
557,利息
1412,全都
61,退回来
921,英国人
1650,办
1464,出生
9427,行
38,叫鲁尼
11,默西
26,赛德
207,郡
15,被划
44,很渣
32293,比赛
6913,到底
2451,没意思
25329,不好
1251,一帮
180,看戏
38,热潮
9,冷讽
1636,可不
118,心理变态
7080,无
1114,下限
764,黑鲁尼
56,总好
5,护鲁尼
1539,无限
44,黑好
392,护
28646,别人
1556,特么
10044,一句
495,双标
5996,昨天
12352,可是
6329,强行
1314,盯
541,不放
154,拨
169,看鲁尼
2838,照样
3866,一脚
2371,门
1055,打成
7639,那样
19842,表现
2133,不该
23,就象
1659,留在
11709,最好
9,被养
988,从不
68,诚然
27884,能力
3480,不好意思
23282,玩
1583,赢球
656,难过
10094,队
1453,功勋
160,黑出
2761,宇宙
21129,罗
23069,巴萨
1816,会员
7906,明白
6038,为啥
23185,其他
308,新来
1006,认
11446,没什么
27,别脑
1600,跟风
4483,很少
48,逛曼
7898,天天
919,安心
2074,兰帕德
21929,鸟
975,没来
21257,之前
1592,特里
144,再就是
1191,一万
1600,马蒂奇
1209,奥斯卡
1270,最差
11,比曼巴
1415,过分
3530,腿
11931,拉
358,不开
3267,场上
19941,希望
660,技巧
3221,做到
789,大佬
105,服众
2968,呆
786,模仿
4427,混
779,菲戈
180,猪头
396,伺候
14876,转会
6366,利物浦
29,小巫见大巫
6041,起码
69,分锅
812,加成
103,我曼
1372,始终
1986,黑子
2418,隔壁
2332,图雷
2182,惨
